taskid -- core -- memory -- disk -- time
224 -- 0.6929999999999999 -- 3316 -- 2437 -- 5594.307186
400 -- 0.763 -- 3391 -- 2437 -- 5035.750872
212 -- 0.667 -- 3314 -- 2437 -- 5735.952381
136 -- 1.003 -- 3316 -- 2437 -- 1794.669404
101 -- 0.265 -- 3167 -- 2437 -- 6774.471813
132 -- 0.547 -- 3292 -- 2437 -- 7122.353565
124 -- 0.508 -- 3287 -- 2437 -- 7636.941515
248 -- 0.53 -- 3312 -- 2437 -- 7358.562144
368 -- 0.5590000000000001 -- 3315 -- 2437 -- 6962.022267
312 -- 0.532 -- 3334 -- 2437 -- 7177.633686
68 -- 0.422 -- 3311 -- 2437 -- 9315.977666999999
232 -- 0.404 -- 3314 -- 2437 -- 9540.904436000001
88 -- 0.379 -- 3313 -- 2437 -- 10338.910723
332 -- 0.402 -- 3335 -- 2437 -- 9583.720599
272 -- 0.397 -- 3315 -- 2437 -- 9883.306742999999
