TASK_ID -- core -- memory -- disk -- time -- drop_out_rate -- num_residual_blocks
343 -- 1.005 -- 3109 -- 2437 -- 1353.259228 -- 0.9 -- 3
363 -- 0.523 -- 3110 -- 2437 -- 1255.72731 -- 0.9500000000000001 -- 3
338 -- 1.004 -- 2915 -- 2437 -- 1386.423158 -- 0.8500000000000001 -- 18
331 -- 1.004 -- 3257 -- 2437 -- 1427.217109 -- 0.8500000000000001 -- 11
200 -- 1.003 -- 3451 -- 2437 -- 2012.17377 -- 0.55 -- 20
287 -- 0.642 -- 3186 -- 2437 -- 1629.215708 -- 0.75 -- 7
177 -- 1.002 -- 3331 -- 2437 -- 2126.770623 -- 0.45 -- 17
157 -- 0.826 -- 3341 -- 2437 -- 2227.222937 -- 0.4 -- 17
199 -- 1.003 -- 3291 -- 2437 -- 2043.156803 -- 0.5 -- 19
274 -- 1.003 -- 3258 -- 2437 -- 1708.695666 -- 0.7000000000000001 -- 14
180 -- 1.003 -- 3438 -- 2437 -- 2136.001416 -- 0.5 -- 20
110 -- 0.533 -- 3256 -- 2437 -- 2535.16276 -- 0.30000000000000004 -- 10
269 -- 0.698 -- 3265 -- 2437 -- 1763.423651 -- 0.7000000000000001 -- 9
273 -- 1.003 -- 3248 -- 2437 -- 1746.591585 -- 0.7000000000000001 -- 13
56 -- 0.73 -- 3315 -- 2437 -- 2872.667801 -- 0.15000000000000002 -- 16
188 -- 0.534 -- 3089 -- 2437 -- 2139.079702 -- 0.5 -- 8
314 -- 1.003 -- 3290 -- 2437 -- 1604.358189 -- 0.8 -- 14
334 -- 1.003 -- 3279 -- 2437 -- 1511.7918 -- 0.8500000000000001 -- 14
44 -- 0.521 -- 3103 -- 2437 -- 3042.803559 -- 0.15000000000000002 -- 4
208 -- 0.537 -- 3073 -- 2437 -- 2136.833671 -- 0.55 -- 8
71 -- 1.001 -- 3195 -- 2437 -- 2872.861562 -- 0.2 -- 11
305 -- 0.55 -- 3172 -- 2437 -- 1724.508292 -- 0.8 -- 5
295 -- 1.003 -- 3309 -- 2437 -- 1764.853326 -- 0.75 -- 15
